date,Open,High,Low,Close
2007-02-12,1438,1439.11,1431.44,1433.37
2007-02-09,1448.25,1452.45,1433.44,1438.06
2007-02-08,1449.99,1450.45,1442.81,1448.31
2007-02-07,1447.41,1452.99,1446.44,1450.02
2007-02-06,1446.98,1450.1899999999998,1443.4,1448
2007-02-05,1448.33,1449.38,1443.85,1446.99
2007-02-02,1445.94,1449.33,1444.49,1448.39
2007-02-01,1437.9,1446.64,1437.9,1445.94
2007-01-31,1428.65,1441.61,1424.78,1438.24
2007-01-30,1420.61,1428.82,1420.61,1428.82
2007-01-29,1422.03,1426.94,1418.46,1420.62
2007-01-26,1423.9,1427.27,1416.96,1422.1799999999998
2007-01-25,1440.12,1440.6899999999998,1422.34,1423.9
2007-01-24,1427.96,1440.14,1427.96,1440.13
2007-01-23,1422.95,1431.33,1421.66,1427.99
2007-01-22,1430.47,1431.39,1420.4,1422.95
2007-01-19,1426.35,1431.57,1425.1899999999998,1430.5
2007-01-18,1430.59,1432.96,1424.21,1426.37
2007-01-17,1431.77,1435.27,1428.57,1430.62
2007-01-16,1430.73,1433.93,1428.62,1431.9
2007-01-12,1423.82,1431.23,1422.58,1430.73
2007-01-11,1414.84,1427.12,1414.84,1423.82
2007-01-10,1408.7,1415.99,1405.32,1414.85
2007-01-09,1412.84,1415.61,1405.42,1412.11
2007-01-08,1409.26,1414.98,1403.97,1412.84
2007-01-05,1418.34,1418.34,1405.75,1409.71
2007-01-04,1416.6,1421.84,1408.43,1418.34
2007-01-03,1418.03,1429.42,1407.86,1416.6
2006-12-29,1424.71,1427,1416.84,1418.3
2006-12-28,1426.77,1427.26,1422.05,1424.73
2006-12-27,1416.63,1427.72,1416.63,1426.84
2006-12-26,1410.75,1417.91,1410.45,1416.9
2006-12-22,1418.1,1418.82,1410.28,1410.76
2006-12-21,1423.2,1426.4,1415.9,1418.3
2006-12-20,1425.51,1429.05,1423.51,1423.53
2006-12-19,1422.42,1428.3,1414.88,1425.55
2006-12-18,1427.08,1431.81,1420.65,1422.48
2006-12-15,1425.48,1431.63,1425.48,1427.09
2006-12-14,1413.16,1427.23,1413.16,1425.49
2006-12-13,1411.32,1416.64,1411.05,1413.21
2006-12-12,1413,1413.78,1404.75,1411.56
2006-12-11,1409.81,1415.6,1408.56,1413.04
2006-12-08,1407.27,1414.09,1403.6699999999998,1409.84
2006-12-07,1412.86,1418.27,1406.8,1407.29
2006-12-06,1414.4,1415.93,1411.05,1412.9
2006-12-05,1409.1,1415.27,1408.78,1414.76
2006-12-04,1396.6699999999998,1411.23,1396.6699999999998,1409.12
2006-12-01,1400.63,1402.46,1385.93,1396.71
2006-11-30,1399.47,1406.3,1393.83,1400.63
2006-11-29,1386.11,1401.14,1386.11,1399.48
2006-11-28,1381.61,1387.91,1377.83,1386.72
2006-11-27,1400.95,1400.95,1381.44,1381.96
2006-11-24,1405.94,1405.94,1399.25,1400.95
2006-11-22,1402.6899999999998,1407.89,1402.26,1406.09
2006-11-21,1400.43,1403.49,1399.99,1402.81
2006-11-20,1401.1699999999998,1404.37,1397.85,1400.5
2006-11-17,1399.76,1401.21,1394.55,1401.2
2006-11-16,1396.53,1403.76,1396.53,1399.76
2006-11-15,1392.91,1401.35,1392.13,1396.57
2006-11-14,1384.36,1394.49,1379.07,1393.22
2006-11-13,1380.58,1387.61,1378.8,1384.42
